,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,Inident SE,Transmitted SE,Reflected SE,Delta E,Delta K,Total E,True Strain Rate 1W,True Strain Rate 3W
42,42,42,42,42,42,42,42,42,42,42,0.000333842,-0.0004004583,-1.835064e-05,-0.00035487767,-2.0744948,-1.757823,-5.9678516,-5.056858,-0.021207362,-0.028583838,-4.115304e-06,-1.23275895e-05,-0.18785119,-0.15917568,-4.1153125e-06,-1.2327666e-05,-0.18785042,-0.15917502,696.51685,546.9837,1.4625796,148.07059,146.8247,294.8953,-0.02900031136661046,0.02098561552489318
43,43,43,43,43,43,43,43,43,43,43,0.000341792,-0.0004016422,-1.805466e-05,-0.00035576557,-2.0788932,-1.762221,-5.9805045,-5.0695105,-0.021668429,-0.028122803,-4.2857064e-06,-1.25529605e-05,-0.18824945,-0.15957393,-4.2857155e-06,-1.255304e-05,-0.18824865,-0.15957324,700.64136,549.7243,1.4157797,149.5013,148.24338,297.7447,-0.028525823038315096,0.021437005677794246
44,44,44,44,44,44,44,44,44,44,44,0.000349742,-0.00040282612,-1.775868e-05,-0.00035694955,-2.0832915,-1.7680856,-5.9931574,-5.0863814,-0.02189888,-0.027661774,-4.458857e-06,-1.2774666e-05,-0.18864775,-0.16010499,-4.458867e-06,-1.2774748e-05,-0.18864691,-0.16010427,704.77795,553.3893,1.369741,150.01895,148.75668,298.77563,-0.02805156591311461,0.02166254363777424
45,45,45,45,45,45,45,45,45,45,45,0.000357688,-0.00040401003,-1.7462706e-05,-0.00035783742,-2.0876896,-1.7724835,-6.00581,-5.0990334,-0.022359967,-0.027200751,-4.634756e-06,-1.2992708e-05,-0.18904601,-0.16050322,-4.634767e-06,-1.2992792e-05,-0.18904513,-0.16050248,708.92676,556.1457,1.324464,151.45657,150.1822,301.6388,-0.027577539768887712,0.022113647966852598
46,46,46,46,46,46,46,46,46,46,46,0.000365638,-0.00040548987,-1.7462706e-05,-0.00035872537,-2.0950198,-1.7768818,-6.026897,-5.111686,-0.022820942,-0.027200751,-4.8143197e-06,-1.3208917e-05,-0.18970977,-0.16090152,-4.814331e-06,-1.32090045e-05,-0.18970886,-0.16090074,714.1297,558.90924,1.324464,153.896,152.6011,306.4971,-0.027577539768887712,0.022564439391491616
47,47,47,47,47,47,47,47,47,47,47,0.000373588,-0.0004066738,-1.7166723e-05,-0.0003596133,-2.099418,-1.78128,-6.03955,-5.124339,-0.023281984,-0.026739715,-4.9975474e-06,-1.3423294e-05,-0.19010805,-0.16129978,-4.99756e-06,-1.3423384e-05,-0.19010709,-0.16129898,718.3059,561.6795,1.2799468,155.34645,154.03935,309.3858,-0.027103724861820073,0.023015093170384332
48,48,48,48,48,48,48,48,48,48,48,0.000381534,-0.0004078577,-1.687075e-05,-0.00036079722,-2.1038163,-1.7871443,-6.0522027,-5.141209,-0.023512483,-0.026278691,-5.183524e-06,-1.3634007e-05,-0.19050632,-0.16183081,-5.1835373e-06,-1.36341e-05,-0.19050534,-0.16182998,722.49426,565.38385,1.2361919,155.87418,154.56264,310.43683,-0.026630146672856025,0.023240322429785434
49,49,49,49,49,49,49,49,49,49,49,0.000389483,-0.00040904168,-1.657477e-05,-0.00036168518,-2.1082149,-1.7915426,-6.064856,-5.153862,-0.023973547,-0.025817657,-5.372249e-06,-1.3841054e-05,-0.19090462,-0.16222909,-5.3722633e-06,-1.3841151e-05,-0.19090359,-0.16222823,726.695,568.1702,1.1931968,157.3316,156.00781,313.33942,-0.026156782389016413,0.023690693275825632
50,50,50,50,50,50,50,50,50,50,50,0.000397433,-0.00041022553,-1.627879e-05,-0.00036257308,-2.1126127,-1.7959408,-6.077508,-5.1665144,-0.024434566,-0.025356624,-5.5646383e-06,-1.4044438e-05,-0.19130287,-0.16262734,-5.5646537e-06,-1.4044536e-05,-0.19130181,-0.16262643,730.90753,570.96326,1.1509627,158.79329,157.4572,316.2505,-0.02568364309892415,0.02414081745260295
51,51,51,51,51,51,51,51,51,51,51,0.00040538,-0.0004114095,-1.5982816e-05,-0.000363757,-2.1170113,-1.801805,-6.0901613,-5.183385,-0.024665132,-0.024895601,-5.7597767e-06,-1.4244157e-05,-0.19170116,-0.16315837,-5.759793e-06,-1.4244258e-05,-0.19170006,-0.16315743,735.1327,574.6981,1.1094908,159.32509,157.98451,317.3096,-0.02521073781906869,0.024365858724336123
