Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,Inident SE,Transmitted SE,Reflected SE,Delta E,Delta K,Total E
0.03905302,-0.00023086285,9.9152625e-05,-5.0316252e-05,-0.652403,-0.24923253,-1.8768156,-0.7169855,-0.21783647,0.15444489,-5.9451606e-05,4.267069e-05,-0.059076875,-0.022568688,-5.9453374e-05,4.266978e-05,-0.059073362,-0.022567347,347.22934,16.49396,64.04965,266.68576,264.44183,531.12756
0.039060473,-0.00023145482,9.9152625e-05,-5.0612263e-05,-0.65533525,-0.25069878,-1.8852509,-0.72120357,-0.21806698,0.15444489,-6.107659e-05,4.3822187e-05,-0.0593424,-0.022701459,-6.1078455e-05,4.3821226e-05,-0.059338775,-0.022700073,349.01236,16.688597,64.04965,268.27408,266.0168,534.2909
0.039067928,-0.00023175079,9.944864e-05,-5.0612263e-05,-0.65533495,-0.25069878,-1.8852501,-0.72120357,-0.21852803,0.15490597,-6.270416e-05,4.49754e-05,-0.059342373,-0.022701459,-6.270612e-05,4.497439e-05,-0.05933865,-0.022700036,349.90552,16.688597,64.432655,268.78424,266.52267,535.3069
0.039075386,-0.00023234272,9.944864e-05,-5.0612263e-05,-0.658267,-0.25069878,-1.893685,-0.72120357,-0.21898903,0.15490597,-6.433516e-05,4.6130335e-05,-0.05960788,-0.022701459,-6.4337226e-05,4.6129273e-05,-0.059604045,-0.022699999,351.69522,16.688597,64.432655,270.57394,268.29733,538.8713
0.03908284,-0.0002329347,9.9744604e-05,-5.0612263e-05,-0.6597333,-0.25069878,-1.8979031,-0.72120357,-0.21968059,0.15536699,-6.597045e-05,4.728699e-05,-0.059740655,-0.022701459,-6.597263e-05,4.728587e-05,-0.059736714,-0.022699961,353.4897,16.688597,64.816734,271.98434,269.69586,541.6802
0.039090294,-0.00023323068,9.9744604e-05,-5.0612263e-05,-0.66119933,-0.25069878,-1.9021206,-0.72120357,-0.21991111,0.15536699,-6.760919e-05,4.844536e-05,-0.05987341,-0.022701459,-6.761147e-05,4.8444188e-05,-0.05986936,-0.022699924,354.38855,16.688597,64.816734,272.88318,270.58713,543.47034
0.039097752,-0.00023382265,0.00010004057,-5.0908227e-05,-0.66266555,-0.25216478,-1.9063385,-0.7254209,-0.22037216,0.15582798,-6.92505e-05,4.9605453e-05,-0.060006175,-0.02283421,-6.92529e-05,4.960422e-05,-0.06000202,-0.022832628,356.1898,16.884348,65.20196,274.1035,271.79718,545.90063
0.039105207,-0.00023441458,0.00010004057,-5.0908227e-05,-0.6655976,-0.25216478,-1.9147735,-0.7254209,-0.22083315,0.15582798,-7.089525e-05,5.076726e-05,-0.060271684,-0.02283421,-7.089777e-05,5.076597e-05,-0.06026741,-0.022832591,357.99548,16.884348,65.20196,275.90918,273.58768,549.4968
0.039112665,-0.00023500655,0.00010033654,-5.0908227e-05,-0.6670637,-0.25216478,-1.9189911,-0.7254209,-0.22152472,0.15628901,-7.2544295e-05,5.1930787e-05,-0.060404442,-0.02283421,-7.254693e-05,5.1929437e-05,-0.06040006,-0.022832554,359.80588,16.884348,65.58833,277.33322,274.99973,552.33295
0.03912012,-0.00023530252,0.00010033654,-5.1204195e-05,-0.6685298,-0.25363082,-1.9232087,-0.72963834,-0.2215247,0.15628901,-7.419592e-05,5.309603e-05,-0.060537204,-0.022966962,-7.419867e-05,5.3094624e-05,-0.06053271,-0.022965258,360.71274,17.081242,65.58833,278.04318,275.7037,553.7469
