,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,Inident SE,Transmitted SE,Reflected SE,Delta E,Delta K,Total E,True Strain Rate 1W,True Strain Rate 3W
31,31,31,31,31,31,31,31,31,31,31,31,0.000241924,-0.00023915026,-1.8646613e-05,-0.00017965866,-1.2769506,-0.88990694,-3.6734974,-2.5600605,-0.031811066,-0.029044861,-7.2155317e-06,-7.589709e-06,-0.11563137,-0.08058351,-7.2155576e-06,-7.589738e-06,-0.11563054,-0.08058293,248.40413,140.18883,1.5101392,106.70516,105.807335,212.5125,-0.029475012581996005,0.0313155747175957
32,32,32,32,32,32,32,32,32,32,32,32,0.000249728,-0.00023974219,-1.8646613e-05,-0.00018025063,-1.2798827,-0.8928392,-3.6819322,-2.568496,-0.03181102,-0.029044861,-7.4637846e-06,-7.816375e-06,-0.11589687,-0.08084903,-7.4638124e-06,-7.816406e-06,-0.11589601,-0.080848426,249.6353,141.11418,1.5101392,107.01097,106.11058,213.12155,-0.029475012581996005,0.031315530135789416
33,33,33,33,33,33,33,33,33,33,33,33,0.0002575289999999,-0.00024063015,-1.8646613e-05,-0.00018084257,-1.284281,-0.89577127,-3.6945853,-2.576931,-0.032041565,-0.029044861,-7.712937e-06,-8.043041e-06,-0.11629516,-0.08111454,-7.712967e-06,-8.043074e-06,-0.116294265,-0.08111391,251.48795,142.04254,1.5101392,107.93526,107.027084,214.96234,-0.029475012581996005,0.031538942411098926
34,34,34,34,34,34,34,34,34,34,34,34,0.0002653339999999,-0.00024122211,-1.835064e-05,-0.00018113859,-1.2857472,-0.89723754,-3.698803,-2.581149,-0.032502573,-0.028583838,-7.964788e-06,-8.267908e-06,-0.11642792,-0.081247315,-7.96482e-06,-8.267942e-06,-0.116427,-0.08124667,252.7268,142.50792,1.4625796,108.756294,107.84121,216.5975,-0.02900031136661046,0.031985537859630875
35,35,35,35,35,35,35,35,35,35,35,35,0.0002731379999999,-0.00024181405,-1.835064e-05,-0.0001817305,-1.2886792,-0.9001695,-3.707238,-2.5895836,-0.032502595,-0.028583838,-8.218438e-06,-8.490976e-06,-0.11669343,-0.08151281,-8.2184715e-06,-8.491012e-06,-0.11669247,-0.08151214,253.96867,143.44081,1.4625796,109.06527,108.14759,217.21286,-0.02900031136661046,0.03198555916708364
36,36,36,36,36,36,36,36,36,36,36,36,0.0002809439999999,-0.00024240602,-1.835064e-05,-0.00018232247,-1.2916114,-0.9031017,-3.7156732,-2.598019,-0.032502595,-0.028583838,-8.472088e-06,-8.714044e-06,-0.116958946,-0.081778325,-8.472124e-06,-8.714082e-06,-0.116957955,-0.08177763,255.21364,144.37682,1.4625796,109.37423,108.45396,217.82819,-0.02900031136661046,0.03198555916708364
37,37,37,37,37,37,37,37,37,37,37,37,0.0002887469999999,-0.00024299795,-1.805466e-05,-0.00018291442,-1.2930772,-0.9060338,-3.71989,-2.606454,-0.032733094,-0.028122803,-8.726637e-06,-8.935313e-06,-0.117091686,-0.082043834,-8.726675e-06,-8.935353e-06,-0.117090665,-0.08204312,256.46158,145.31584,1.4157797,109.72995,108.80668,218.53662,-0.028525823038315096,0.032208777274522635
38,38,38,38,38,38,38,38,38,38,38,38,0.0002965509999999,-0.00024358995,-1.805466e-05,-0.00018350639,-1.2960097,-0.908966,-3.7283258,-2.6148891,-0.032733116,-0.028122803,-8.982086e-06,-9.154784e-06,-0.11735722,-0.08230936,-8.982127e-06,-9.154825e-06,-0.117356166,-0.08230862,257.71268,146.25795,1.4157797,110.038956,109.11308,219.15204,-0.028525823038315096,0.03220879857721927
39,39,39,39,39,39,39,39,39,39,39,39,0.0003043539999999,-0.00024418187,-1.805466e-05,-0.00018409833,-1.2989416,-0.9118981,-3.7367604,-2.6233242,-0.032733094,-0.028122803,-9.237535e-06,-9.374254e-06,-0.11762271,-0.08257487,-9.237578e-06,-9.374297e-06,-0.11762162,-0.08257411,258.96667,147.20303,1.4157797,110.34785,109.41937,219.76721,-0.028525823038315096,0.032208777274522635
40,40,40,40,40,40,40,40,40,40,40,40,0.000312157,-0.0002450698,-1.775868e-05,-0.00018439433,-1.3018738,-0.9133643,-3.7451959,-2.627542,-0.033424623,-0.027661774,-9.495682e-06,-9.591925e-06,-0.117888235,-0.082707636,-9.495728e-06,-9.59197e-06,-0.11788712,-0.082706854,260.85352,147.67679,1.369741,111.80699,110.86624,222.67323,-0.02805156591311461,0.03287816375952504
41,41,41,41,41,41,41,41,41,41,41,41,0.000319961,-0.0002456618,-1.775868e-05,-0.00018498627,-1.3048062,-0.91629636,-3.7536316,-2.635977,-0.033424668,-0.027661774,-9.756528e-06,-9.807797e-06,-0.118153766,-0.08297314,-9.756575e-06,-9.807845e-06,-0.11815261,-0.082972325,262.11526,148.62645,1.369741,112.1191,111.17573,223.29483,-0.02805156591311461,0.03287820730406442
42,42,42,42,42,42,42,42,42,42,42,42,0.000327764,-0.0002462537,-1.7462706e-05,-0.00018557825,-1.306272,-0.9192286,-3.7578485,-2.6444123,-0.033655133,-0.027200751,-1.0018273e-05,-1.002187e-05,-0.1182865,-0.08323866,-1.0018323e-05,-1.002192e-05,-0.11828531,-0.08323783,263.37988,149.5792,1.324464,112.476234,111.529854,224.00609,-0.027577539768887712,0.03310119337440698
43,43,43,43,43,43,43,43,43,43,43,43,0.00033557,-0.00024684565,-1.7462706e-05,-0.00018617019,-1.3092041,-0.9221607,-3.7662833,-2.6528473,-0.033655133,-0.027200751,-1.0280917e-05,-1.0234145e-05,-0.11855201,-0.08350417,-1.0280971e-05,-1.0234197e-05,-0.118550785,-0.08350331,264.64764,150.53496,1.324464,112.78824,111.83923,224.62747,-0.027577539768887712,0.03310119337440698
44,44,44,44,44,44,44,44,44,44,44,44,0.000343374,-0.00024743762,-1.7166723e-05,-0.00018676216,-1.3106701,-0.9250929,-3.7705011,-2.6612825,-0.033885654,-0.026739715,-1.05444615e-05,-1.044462e-05,-0.11868477,-0.083769694,-1.0544517e-05,-1.0444674e-05,-0.11868352,-0.08376881,265.9185,151.4938,1.2799468,113.144745,112.19274,225.3375,-0.027103724861820073,0.033324183897645854
45,45,45,45,45,45,45,45,45,45,45,45,0.000351179,-0.0002480296,-1.7166723e-05,-0.00018735409,-1.3136024,-0.9280249,-3.7789364,-2.6697173,-0.033885688,-0.026739715,-1.0808905e-05,-1.0653296e-05,-0.11895029,-0.084035195,-1.0808963e-05,-1.06533535e-05,-0.118949,-0.08403429,267.1924,152.45561,1.2799468,113.45684,112.502205,225.95905,-0.027103724861820073,0.033324216783293545
46,46,46,46,46,46,46,46,46,46,46,46,0.0003589839999999,-0.00024862154,-1.687075e-05,-0.00018794608,-1.3150685,-0.9309572,-3.783154,-2.6781528,-0.034116164,-0.026278691,-1.1074248e-05,-1.0860174e-05,-0.119083054,-0.08430072,-1.1074309e-05,-1.08602335e-05,-0.119081736,-0.08429979,268.46927,153.42056,1.2361919,113.81251,112.85489,226.66739,-0.026630146672856025,0.03354711407009372
47,47,47,47,47,47,47,47,47,47,47,47,0.0003667879999999,-0.00024921348,-1.687075e-05,-0.00018853799,-1.3180007,-0.93388915,-3.791589,-2.6865873,-0.034116186,-0.026278691,-1.134049e-05,-1.1065253e-05,-0.11934856,-0.08456621,-1.1340555e-05,-1.10653145e-05,-0.11934721,-0.08456525,269.74918,154.38846,1.2361919,114.12454,113.16429,227.28883,-0.026630146672856025,0.03354713534429924
48,48,48,48,48,48,48,48,48,48,48,48,0.000374589,-0.00025010144,-1.687075e-05,-0.00018912998,-1.3223989,-0.93682146,-3.8042421,-2.6950228,-0.034346696,-0.026278691,-1.1607633e-05,-1.1270332e-05,-0.11974684,-0.084831744,-1.16077e-05,-1.1270395e-05,-0.11974545,-0.08483076,271.67487,155.35951,1.2361919,115.07918,114.11089,229.19006,-0.026630146672856025,0.03377001582522072
49,49,49,49,49,49,49,49,49,49,49,49,0.000382394,-0.0002506934,-1.657477e-05,-0.0001897219,-1.323865,-0.9397535,-3.8084598,-2.7034576,-0.03457724,-0.025817657,-1.1876573e-05,-1.1473611e-05,-0.1198796,-0.085097246,-1.1876644e-05,-1.1473677e-05,-0.11987818,-0.08509623,272.96243,156.33348,1.1931968,115.43576,114.46448,229.90024,-0.026156782389016413,0.033992879505168126
50,50,50,50,50,50,50,50,50,50,50,50,0.000390198,-0.00025128532,-1.657477e-05,-0.00019031389,-1.326797,-0.9426858,-3.8168943,-2.7118933,-0.034577183,-0.025817657,-1.2146414e-05,-1.16750925e-05,-0.1201451,-0.08536277,-1.2146487e-05,-1.167516e-05,-0.12014364,-0.085361734,274.25296,157.31062,1.1931968,115.74914,114.775215,230.52435,-0.026156782389016413,0.03399282441019849
