Strain (mm/mm),SS316 Alloy Back Surface,SS316 Alloy Front Surface,Al 356 Alloy Back Surface,Al 356 Alloy Front Surface,SS 316 - Al 356 Composite Back Surface,SS 316 - Al 356 Composite Front Surface
-0.0013567538,282.0782,17.02845,265.69644,120.36796,466.6388,171.82823
-0.0013706823,282.68372,17.165552,265.25354,120.23529,465.97452,171.66019
-0.0013846104,283.28967,17.302195,264.8095,120.10467,465.30682,171.49487
-0.0013985387,283.8961,17.438322,264.36423,119.97612,464.6359,171.33235
-0.0014124665,284.503,17.57396,263.91766,119.84967,463.96158,171.17255
-0.0014263943,285.11032,17.709084,263.47,119.72528,463.28406,171.01558
-0.0014404408,285.7181,17.84372,263.02106,119.603004,462.6033,170.86131
-0.0014544872,286.3264,17.977816,262.571,119.48282,461.9192,170.70985
-0.0014685332,286.93506,18.111397,262.11975,119.36475,461.23193,170.5612
-0.0014825793,287.54425,18.24449,261.66736,119.248825,460.54138,170.41536
-0.0014967442,288.15387,18.377043,261.2138,119.13501,459.84763,170.27232
-0.0015107895,288.76392,18.509056,260.7591,119.02334,459.1507,170.13217
-0.001524954,289.3744,18.640532,260.30325,118.91378,458.45056,169.99481
-0.0015392371,289.98535,18.771463,259.8463,118.80641,457.74728,169.8603
-0.0015534011,290.5967,18.90186,259.38824,118.70122,457.04077,169.72868
-0.0015675648,291.20853,19.031712,258.929,118.59818,456.3312,169.59993
-0.0015818476,291.82083,19.161028,258.46872,118.49732,455.6185,169.47403
-0.0015961301,292.43353,19.289778,258.0074,118.39865,454.90265,169.35101
-0.0016104123,293.04666,19.417961,257.5449,118.3022,454.1837,169.23094
