Time (ms),SS316 Alloy True Strain 1W,SS316 Alloy True Strain 3W,Al 356 Alloy True Strain 1W,Al 356 Alloy True Strain 3W,SS 316 - Al 356 Composite True Strain 1W,SS 316 - Al 356 Composite True Strain 3W
0.019126697,-0.002726411,0.0013646253,-0.002181771,0.0016087112,-0.0024493714,0.0014896755
0.01914172,-0.0027426982,0.0013728621,-0.0021923573,0.0016171292,-0.0024618576,0.0014982712
0.019156747,-0.002759104,0.0013810392,-0.0022028247,0.0016255471,-0.0024742251,0.001506927
0.01917177,-0.0027753904,0.001389276,-0.0022132918,0.0016340247,-0.002486592,0.0015155828
0.019186797,-0.0027917954,0.0013975129,-0.0022237592,0.0016424427,-0.00249884,0.0015242982
0.01920182,-0.0028082004,0.0014057498,-0.002234226,0.0016508609,-0.0025112065,0.0015329542
0.019216845,-0.002824724,0.0014139869,-0.002244693,0.0016593387,-0.002523573,0.0015416697
0.01923187,-0.0028412472,0.0014222836,-0.00225516,0.0016678167,-0.0025359394,0.0015503855
0.019246895,-0.0028577703,0.0014305806,-0.0022656268,0.001676235,-0.002548306,0.0015591014
0.01926192,-0.002874293,0.0014388775,-0.002275974,0.0016847131,-0.002560672,0.001567877
0.019276945,-0.002890815,0.0014472342,-0.002286441,0.0016931914,-0.0025729192,0.0015765929
0.01929197,-0.0029074561,0.0014555911,-0.0022969074,0.0017016695,-0.0025852849,0.0015853688
0.019306995,-0.0029240968,0.0014638882,-0.0023072548,0.0017101478,-0.0025976507,0.0015941445
0.019322021,-0.002940737,0.0014723048,-0.0023177208,0.0017186262,-0.0026098972,0.0016029802
0.019337045,-0.0029574966,0.0014806617,-0.002328068,0.0017271047,-0.0026222626,0.0016117562
0.01935207,-0.002974255,0.0014890785,-0.0023384152,0.0017355833,-0.0026346277,0.0016205919
0.019367095,-0.0029910137,0.0014974952,-0.002348881,0.0017441215,-0.002646874,0.0016294277
0.01938212,-0.0030077717,0.0015059123,-0.0023592275,0.0017526002,-0.002659239,0.0016383233
0.019397145,-0.0030245297,0.0015143887,-0.0023695743,0.001761079,-0.0026714846,0.0016471592
0.01941217,-0.003041406,0.0015228059,-0.0023799213,0.0017696174,-0.0026837308,0.001656055
0.019427195,-0.0030582824,0.0015312828,-0.0023902678,0.001778156,-0.002696095,0.001664951
0.01944222,-0.0030751578,0.0015398192,-0.002400614,0.0017866349,-0.0027083405,0.0016738469
0.019457243,-0.0030921525,0.0015482961,-0.0024109604,0.0017951737,-0.0027205858,0.0016828026
0.01947227,-0.0031091468,0.0015568329,-0.0024211875,0.0018037125,-0.0027329496,0.0016917583
0.019487293,-0.0031261402,0.0015653695,-0.0024315338,0.0018122514,-0.0027451946,0.0017007141
0.01950232,-0.003143134,0.0015739065,-0.0024417604,0.0018207903,-0.0027574394,0.0017096702
0.019517343,-0.0031602462,0.0015825031,-0.0024521064,0.0018293294,-0.0027696842,0.0017186262
0.01953237,-0.0031773578,0.0015910998,-0.0024623333,0.0018378686,-0.0027819287,0.0017276421
0.019547394,-0.0031944695,0.0015996967,-0.0024726791,0.0018464078,-0.002794173,0.0017366579
0.019562418,-0.0032115807,0.0016082934,-0.0024829058,0.0018550067,-0.0028064172,0.0017456738
0.019577444,-0.003228692,0.0016169501,-0.0024931321,0.001863546,-0.0028186613,0.00175469
0.019592468,-0.003245921,0.0016256068,-0.0025033583,0.0018720853,-0.0028309051,0.0017637658
0.019607494,-0.00326315,0.0016342635,-0.0025135851,0.0018806846,-0.0028430303,0.0017727821
0.019622518,-0.0032804983,0.0016429204,-0.002523811,0.0018892838,-0.002855274,0.0017818582
0.019637544,-0.0032977269,0.001651637,-0.002534037,0.0018978234,-0.0028675173,0.001790994
0.019652568,-0.0033150741,0.0016603537,-0.0025442631,0.0019064229,-0.0028796415,0.00180007
0.019667592,-0.003332421,0.0016690705,-0.0025544893,0.0019150224,-0.0028918851,0.0018092062
0.019682618,-0.003349886,0.0016777873,-0.0025645958,0.001923622,-0.0029041278,0.0018183421
0.019697642,-0.0033673511,0.0016865641,-0.0025748217,0.0019322216,-0.0029162518,0.0018274782
0.019712668,-0.0033848155,0.0016953407,-0.0025849284,0.0019408213,-0.0029283757,0.0018366743
0.019727692,-0.0034022802,0.0017041175,-0.0025951536,0.0019494211,-0.0029406184,0.0018458106
0.019742718,-0.0034197443,0.0017128943,-0.0026052603,0.0019580806,-0.0029527422,0.0018550067
0.019757742,-0.0034373268,0.0017217309,-0.0026153666,0.0019666806,-0.0029648656,0.0018642029
0.019772766,-0.003454909,0.0017305678,-0.002625473,0.0019752807,-0.0029771077,0.0018734589
0.019787792,-0.0034724912,0.0017394046,-0.002635579,0.0019839404,-0.0029892307,0.0018826553
0.019802816,-0.0034901917,0.0017483012,-0.002645685,0.0019925404,-0.0030013535,0.0018919115
0.019817842,-0.0035078917,0.0017571382,-0.002655791,0.0020012003,-0.0030134765,0.0019011677
0.019832866,-0.0035255912,0.0017660349,-0.0026658974,0.0020098605,-0.003025599,0.001910424
0.019847892,-0.0035432908,0.0017749914,-0.0026760027,0.0020185206,-0.0030377218,0.0019197402
0.019862916,-0.0035609899,0.0017838883,-0.0026859897,0.0020271211,-0.0030497254,0.0019290565
0.01987794,-0.0035788082,0.001792845,-0.002696095,0.0020357813,-0.0030618475,0.0019383727
0.019892966,-0.003596625,0.0018018017,-0.0027060818,0.0020444416,-0.0030739699,0.0019476892
0.01990799,-0.0036145612,0.0018108183,-0.0027160682,0.0020531619,-0.0030860917,0.0019570056
0.019923016,-0.0036323778,0.0018197753,-0.0027261733,0.0020618222,-0.0030980946,0.001966382
0.01993804,-0.0036503128,0.001828792,-0.0027361596,0.0020704828,-0.0031102162,0.0019757585
